655 - Local Param 04,id,original,status,updated_term,extraneous_text,confidence,error
Armorial bookplates. rbmscv MMeT,211,Armorial bookplates. rbmscv MMeT,,Armorial bookplates,"rbmscv, MMeT",0.9,
Armorial stamps (Provenance) rbprov MMeT,213,Armorial stamps (Provenance) rbprov MMeT,,Armorial stamps,"(Provenance), rbprov, MMeT",0.92,
Artillery election sermons 1698. rbgenr,,,,,,,
Artillery election sermons 1699. rbgenr,,,,,,,
Artillery election sermons 1700. rbgenr,,,,,,,
Artillery election sermons 1795. rbgenr,,,,,,,
Artillery election sermons 1799. rbgenr,,,,,,,
Artists' books 1976. rbgenr,,,,,,,
Artists' books 1988. rbgenr,230,Artists' books 1988. rbgenr,,Artists' books,"1988, rbgenr",0.88,
Artists' books 1998. rbgenr,237,Artists' books 1998. rbgenr,,Artists' books,"1998, rbgenr",0.88,
Artists' books 2007. rbgenr,245,Artists' books 2007. rbgenr,,Artists' books,"2007, rbgenr",0.88,
Artists' books 2010. rbgenr,248,Artists' books 2010. rbgenr,,Artists' books,"2010, rbgenr",0.88,
Artists' books 2011. rbgenr,250,Artists' books 2011. rbgenr,,Artists' books,"2011, rbgenr",0.88,
Artists' books 2012. rbgenr,251,Artists' books 2012. rbgenr,,Artists' books,"2012, rbgenr",0.88,
Artists' books 2015. rbgenr,255,Artists' books 2015. rbgenr,,Artists' books,"2015, rbgenr",0.88,
Artists' books 2017. rbgenr,257,Artists' books 2017. rbgenr,,Artists' books,"2017, rbgenr",0.88,
Artists' books 20th century. rbgenr,263,Artists' books 20th century. rbgenr,,Artists' books,"20th century, rbgenr",0.88,
Artists' books Alabama 2014. rbgenr,,,,,,,
Artists' books Arizona Tucson 2014. rbgenr,,,,,,,
Artists' books Belgium (Charleroi) 2017. rbgenr,,,,,,,
Artists' books Belgium Brussels 2014. rbgenr,,,,,,,
Artists' books California 1970-1979. rbgenr,,,,,,,
Artists' books California 21st century rbgenr,,,,,,,
Artists' books California 21st century. rbgenr,284,Artists' books California 21st century. rbgenr,,Artists' books,"California 21st century, rbgenr",0.88,
Artists' books California Berkeley 2015. rbgenr,,,,,,,
Artists' books California Berkeley. rbgenr,291,Artists' books California Berkeley. rbgenr,,Artists' books,"California Berkeley, rbgenr",0.88,
Artists' books California Fullerton 1973. rbgenr,,,,,,,
Artists' books California Los Angeles 2015. rbgenr,,,,,,,
Artists' books California Morgan Hill 21st century. rbgenr,,,,,,,
Artists' books California Oakland rbgenr,,,,,,,
Artists' books California Pasadena 2009. rbgenr,,,,,,,
Artists' books California Pasadena 2012. rbgenr,,,,,,,
Artists' books California Redwood City 2013. rbgenr,,,,,,,
Artists' books California Redwood City. rbgenr,,,,,,,
Artists' books California San Francisco 2012. rbgenr,,,,,,,
Artists' books California. rbgenr,319,Artists' books California. rbgenr,,Artists' books,"California, rbgenr",0.88,
Artists' books Canada. rbgenr,,,,,,,
Artists' books Chile 1990-1999. rbgenr,,,,,,,
Artists' books Chile 21st century. rbgenr,,,,,,,
Artists' books Chile Santiago. rbgenr,,,,,,,
Artists' books Colombia 21st century. rbgenr,321,Artists' books Colombia 21st century. rbgenr,,Artists' books,"Colombia 21st century, rbgenr",0.88,
Artists' books Cuba 2009. rbgenr,,,,,,,
Artists' books Cuba Matanzas 21st century. rbgenr,330,Artists' books Cuba Matanzas 21st century. rbgenr,,Artists' books,"Cuba Matanzas 21st century, rbgenr",0.88,
Artists' books England 1990. rbgenr,,,,,,,
Artists' books England London 1990. rbgenr,,,,,,,
Artists' books England London 2001. rbgenr,,,,,,,
Artists' books England London 21st century. rbgenr,345,Artists' books England London 21st century. rbgenr,,Artists' books,"England London 21st century, rbgenr",0.88,
Artists' books England London. rbgenr,346,Artists' books England London. rbgenr,,Artists' books,"England London, rbgenr",0.88,
Artists' books Florida Dania Beach. rbgenr,,,,,,,
Artists' books Florida Gainesville 2015. rbgenr,,,,,,,
Artists' books Florida Gainesville 21st century. rbgenr,,,,,,,
Artists' books Florida Tallahassee 2013. rbgenr,,,,,,,
Artists' books France 21st century. rbgenr,363,Artists' books France 21st century. rbgenr,,Artists' books,"France 21st century, rbgenr",0.88,
Artists' books Georgia 2021. rbgenr,,,,,,,
Artists' books Georgia Atlanta. rbgenr,373,Artists' books Georgia Atlanta. rbgenr,,Artists' books,"Georgia Atlanta, rbgenr",0.88,
Artists' books Georgia. rbgenr,374,Artists' books Georgia. rbgenr,,Artists' books,"Georgia, rbgenr",0.88,
Artists' books Germany 2015. rbgenr,,,,,,,
Artists' books Germany 2017. rbgenr,,,,,,,
Artists' books Germany 2019. rbgenr,,,,,,,
Artists' books Germany 21st century. rbgenr,376,Artists' books Germany 21st century. rbgenr,,Artists' books,"Germany 21st century, rbgenr",0.88,
Artists' books Germany Cologne 1970. rbgenr,,,,,,,
Artists' books Illinois 2000-2009. rbgenr,,,,,,,
Artists' books Illinois Chicago 2013. rbgenr,,,,,,,
Artists' books Illinois. rbgenr,393,Artists' books Illinois. rbgenr,,Artists' books,"Illinois, rbgenr",0.88,
Artists' books India. rbgenr,,,,,,,
Artists' books Ireland. rbgenr,,,,,,,
Artists' books Italy 1985. rbgenr,,,,,,,
Artists' books Italy 2019. rbgenr,,,,,,,
Artists' books Italy Bologna 1989. rbgenr,,,,,,,
Artists' books Italy Bologna 1998. rbgenr,,,,,,,
Artists' books Italy Bologna. rbgenr,414,Artists' books Italy Bologna. rbgenr,,Artists' books,"Italy Bologna, rbgenr",0.88,
Artists' books Italy. rbgenr,,,,,,,
Artists' books Japan 21st century. rbgenr,,,,,,,
Artists' books Japan Kitakyushu 1999. rbgenr,,,,,,,
Artists' books Maryland Silver Spring. rbgenr,,,,,,,
Artists' books Massachusetts Boston 2005. rbgenr,430,Artists' books Massachusetts Boston 2005. rbgenr,,Artists' books,"Massachusetts Boston 2005, rbgenr",0.88,
Artists' books Massachusetts Boston 2012. rbgenr,,,,,,,
Artists' books Massachusetts Boston 2014. rbgenr,,,,,,,
Artists' books Massachusetts Northampton 2021. rbgenr,,,,,,,
Artists' books Massachusetts Somerville 2015. rbgenr,,,,,,,
Artists' books Mexico 2010-2019. rbgenr,439,Artists' books Mexico 2010-2019. rbgenr,,Artists' books,"Mexico 2010-2019, rbgenr",0.88,
Artists' books Mexico 21st century. rbgenr,440,Artists' books Mexico 21st century. rbgenr,,Artists' books,"Mexico 21st century, rbgenr",0.88,
Artists' books Mexico Cuernavaca. rbgenr,,,,,,,
Artists' books Michigan Ann Arbor 2019. rbgenr,,,,,,,
Artists' books Minnesota Minneapolis 2011. rbgenr,,,,,,,
Artists' books New Jersey Plainsboro 2003. rbgenr,,,,,,,
Artists' books New Jersey Plainsboro. rbgenr,,,,,,,
Artists' books New York (State) 2018. rbgenr,469,Artists' books New York (State) 2018. rbgenr,,Artists' books,"New York (State) 2018, rbgenr",0.88,
Artists' books New York (State) 2019. rbgenr,470,Artists' books New York (State) 2019. rbgenr,,Artists' books,"New York (State) 2019, rbgenr",0.88,
Artists' books New York (State) 2020. rbgenr,471,Artists' books New York (State) 2020. rbgenr,,Artists' books,"New York (State) 2020, rbgenr",0.88,
Artists' books New York (state) 20th century rbgenr,,,,,,,
Artists' books New York (State) 20th century. rbgenr,474,Artists' books New York (State) 20th century. rbgenr,,Artists' books,"New York (State) 20th century, rbgenr",0.88,
Artists' books New York (State) 21st century rbgenr,475,Artists' books New York (State) 21st century rbgenr,,Artists' books,"New York (State) 21st century, rbgenr",0.88,
Artists' books New York (State) New York 1975. rbgenr,,,,,,,
Artists' books New York (State) New York 1977. rbgenr,482,Artists' books New York (State) New York 1977. rbgenr,,Artists' books,"New York (State) New York 1977, rbgenr",0.88,
Artists' books New York (State) New York 1978. rbgenr,,,,,,,
Artists' books New York (State) New York 2000. rbgenr,,,,,,,
Artists' books New York (State) New York 2003. rbgenr,,,,,,,
Artists' books New York (State) New York 2008. rbgenr,,,,,,,
Artists' books New York (State) New York 2013 rbgenr,,,,,,,
Artists' books New York (State) New York 2014. rbgenr,,,,,,,
Artists' books New York (State) New York 2015. rbgenr,489,Artists' books New York (State) New York 2015. rbgenr,,Artists' books,"New York (State) New York 2015, rbgenr",0.88,
Artists' books New York (State) New York 2016. rbgenr,490,Artists' books New York (State) New York 2016. rbgenr,,Artists' books,"New York (State) New York 2016, rbgenr",0.88,
Artists' books New York (State) New York 2019. rbgenr,,,,,,,
Artists' books New York (State) New York. rbgenr,498,Artists' books New York (State) New York. rbgenr,,Artists' books,"New York (State) New York, rbgenr",0.88,
Artists' books New York (State) rbgenr,499,Artists' books New York (State) rbgenr,,Artists' books,"New York (State), rbgenr",0.88,
Artists' books New York (State) Rochester 1993. rbgenr,,,,,,,
Artist's books New York (State) Rochester. rbgenr,,,,,,,
Artists' books New York (State) Rosendale 1981. rbgenr,,,,,,,
Artists' books New York (State) Rosendale 2019. rbgenr,,,,,,,
Artists' books New York (State) Rosendale. rbgenr,,,,,,,
Artists' books New York Pleasantville 2021. rbgenr,,,,,,,
Artists' books Nicaragua 21st century. rbgenr,504,Artists' books Nicaragua 21st century. rbgenr,,Artists' books,"Nicaragua 21st century, rbgenr",0.88,
Artists' books North Carolina 2016. rbgenr,,,,,,,
Artists' books Nova Scotia Halifax 1979. rbgenr,,,,,,,
Artists' books Ontario Toronto 2017. rbgenr,,,,,,,
Artists' books Oregon Portland 2008. rbgenr,,,,,,,
Artists' books Pennsylvania Philadelphia 2014. rbgenr,,,,,,,
Artists' books Pennsylvania Philadelphia 2019. rbgenr,,,,,,,
Artists' books rbgenr,518,Artists' books rbgenr,,Artists' books,rbgenr,0.9,
Artists' books Rhode Island Providence 2017. rbgenr,,,,,,,
Artists' books Switzerland 21st century. rbgenr,,,,,,,
Artists' books Texas 2018. rbgenr,,,,,,,
Artists' books United States 2021. rbgenr,,,,,,,
Artists' books United States 21st century. rbgenr,538,Artists' books United States 21st century. rbgenr,,Artists' books,"United States 21st century, rbgenr",0.88,
Artists' books United States. rbgenr,542,Artists' books United States. rbgenr,,Artists' books,"United States, rbgenr",0.88,
Artists' books United States. rbgenr CtHT,,,,,,,
Artists' books Washington (D.C.) rbgenr,,,,,,,
Artists' books Washington (State) Seattle 2013. rbgenr,,,,,,,
Artists' books Washington (State) Tacoma. rbgenr,561,Artists' books Washington (State) Tacoma. rbgenr,,Artists' books,"Washington (State) Tacoma, rbgenr",0.88,
Artists' books Wisconsin 2010-2019. rbgenr,,,,,,,
Artists' books Wisconsin 2011. rbgenr,,,,,,,
Artists' books. rbgenr,572,Artists' books. rbgenr,,Artists' books,rbgenr,0.95,
Artists' books. rbgenr CtHT,543,Artists' books. rbgenr CtHT,,Artists' books,"rbgenr, CtHT",0.88,
Artists' books. rbpub,577,Artists' books. rbpub,,Artists' books,rbpub,0.88,
Atlases (Geographic) 1868. rbgenr,,,,,,,
Atlases (Geographic) rbgenr,589,Atlases (Geographic) rbgenr,,Atlases (Geographic),rbgenr,1.0,
Atlases (Scientific) rbgenr,592,Atlases (Scientific) rbgenr,,Atlases (Scientific),rbgenr,1.0,
Auction catalogues Books. rbgenr,,,,,,,
Authors' autographs (Provenance) Knudson 2015. rbprov,,,,,,,
Authors' autographs (Provenance) rbgenr,600,Authors' autographs (Provenance) rbgenr,,Authors' autographs,"(Provenance), rbgenr",0.95,
Authors' autographs (Provenance) rbprov MMeT,,,,,,,
Authors' presentation copies. rbgenr,,,,,,,
Authors' presentation inscriptions (Provenance) 20th century. rbgenr,,,,,,,
Authors' presentation inscriptions (Provenance) 20th century. rbprov MMeT,,,,,,,
Authors' presentation inscriptions (Provenance) rbprov MMeT,612,Authors' presentation inscriptions (Provenance) rbprov MMeT,,Authors' presentation inscriptions,"(Provenance), rbprov, MMeT",0.9,
Authors' presentation inscriptions. rbmscv MMeT,,,,,,,
Autobiographies 1889. rbgenr,,,,,,,
Autobiographies 1989. rbgenr,,,,,,,
Autobiographies 20th century. rbgenr,,,,,,,
Autobiographies France 20th century. rbgenr,,,,,,,
Autobiographies Ireland 20th century. rbgenr,,,,,,,
Autobiographies Massachusetts Boston 19th century. rbgenr,,,,,,,
Autobiographies. rbgenr,629,Autobiographies. rbgenr,,Autobiographies,rbgenr,1.0,
Autographs (Provenance) rbprov MMeT,633,Autographs (Provenance) rbprov MMeT,,Autographs,"(Provenance), rbprov, MMeT",0.9,
Baccalaureate addresses 1765. rbgenr,,,,,,,
Baccalaureate addresses 1769. rbgenr,,,,,,,
Baccalaureate addresses 1797. rbgenr,,,,,,,
Bible stories New York (N.Y.) 1987. rbgenr,,,,,,,
Bibliographies. rbgenr,647,Bibliographies. rbgenr,,Bibliographies,rbgenr,1.0,
Bills rbgenr,,,,,,,
Binding errors (Binding) rbbin MMeT,659,Binding errors (Binding) rbbin MMeT,,Binding errors,"(Binding), rbbin, MMeT",0.95,
Biographical fiction 1929. rbgenr,,,,,,,
Biographical fiction. rbgenr,669,Biographical fiction. rbgenr,,Biographical fiction,rbgenr,1.0,
Biographies 1853. rbgenr,,,,,,,
Biographies 1940. rbgenr,,,,,,,
Biographies 19th century. rbgenr,678,Biographies 19th century. rbgenr,,Biographies,"19th century, rbgenr",1.0,
Biographies 20th century. rbgenr,681,Biographies 20th century. rbgenr,,Biographies,"20th century, rbgenr",1.0,
Biographies United States 19th century. rbgenr,688,Biographies United States 19th century. rbgenr,,Biographies,"United States 19th century, rbgenr",0.88,
Biographies. rbgenr,689,Biographies. rbgenr,,Biographies,rbgenr,1.0,
Biographies. rbgenr E8W,691,Biographies. rbgenr E8W,,Biographies,"rbgenr, E8W",0.85,
Black letter types. rbtyp,,,,,,,
Blank forms. rbgenr,701,Blank forms. rbgenr,,Blank forms,rbgenr,1.0,
Blind tooled bindings (Binding) 16th century. rbbin MMeT,709,Blind tooled bindings (Binding) 16th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 16th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) 17th century. rbbin MMeT,710,Blind tooled bindings (Binding) 17th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 17th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) 18th century. rbbin MMeT,711,Blind tooled bindings (Binding) 18th century. rbbin MMeT,,Blind tooled bindings,"(Binding) 18th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) England 18th century. rbbin MMeT,,,,,,,
Blind tooled bindings (Binding) England. rbbin MMeT,,,,,,,
Blind tooled bindings (Binding) Germany 16th century. rbbin MMeT,714,Blind tooled bindings (Binding) Germany 16th century. rbbin MMeT,,Blind tooled bindings,"(Binding) Germany 16th century, rbbin, MMeT",1.0,
Blind tooled bindings (Binding) Germany 17th century. rbbin MMeT,,,,,,,
Blind tooled bindings (Binding) rbbin MMeT,717,Blind tooled bindings (Binding) rbbin MMeT,,Blind tooled bindings,"(Binding), rbbin, MMeT",1.0,
Boards (Binding) 18th century. rbbin MMeT,,,,,,,
Book prices (Publishing) England 1919. rbpub,,,,,,,
Book prices (Publishing) United States 20th century. rbpub,,,,,,,
Book prospectuses New York (State) New York 1930. rbgenr,,,,,,,
Book prospectuses. rbgenr NNC,,,,,,,
Book-mark. rbgenr,,,,,,,
Bookplates (Provenance) rbbin MMeT,,,,,,,
Bookplates (Provenance) rbgenr (local)919472,,,,,,,
Bookplates (Provenance) rbprov MMeT,739,Bookplates (Provenance) rbprov MMeT,,Bookplates,"(Provenance), rbprov, MMeT",1.0,
Books for the visually impaired U.S.A. 1801-1900. rbgenr,,,,,,,
Books issued in fascicles (Publishing) Original fascicles. rbpub,744,Books issued in fascicles (Publishing) Original fascicles. rbpub,,Part-issued books in volume form,"(Publishing) Original fascicles, rbpub",0.85,
Booksellers' advertisements Connecticut Danbury. rbgenr,750,Booksellers' advertisements Connecticut Danbury. rbgenr,,Booksellers' advertisements,"Connecticut Danbury, rbgenr",1.0,
Booksellers' advertisements Connecticut New Haven. rbgenr,,,,,,,
Booksellers' advertisements Connecticut New London. rbgenr,753,Booksellers' advertisements Connecticut New London. rbgenr,,Booksellers' advertisements,"Connecticut New London, rbgenr",1.0,
Booksellers' advertisements Connecticut Norwich. rbgenr,754,Booksellers' advertisements Connecticut Norwich. rbgenr,,Booksellers' advertisements,"Connecticut Norwich, rbgenr",1.0,
Booksellers' advertisements Delaware Wilmington. rbgenr,756,Booksellers' advertisements Delaware Wilmington. rbgenr,,Booksellers' advertisements,"Delaware Wilmington, rbgenr",1.0,
Booksellers' advertisements England 17th century. rbgenr,758,Booksellers' advertisements England 17th century. rbgenr,,Booksellers' advertisements,"England 17th century, rbgenr",1.0,
Booksellers' advertisements Great Britain 18th century. rbgenr,,,,,,,
Booksellers' advertisements Maryland Baltimore. rbgenr,766,Booksellers' advertisements Maryland Baltimore. rbgenr,,Booksellers' advertisements,"Maryland Baltimore, rbgenr",1.0,
Booksellers' advertisements Massachusetts Boston. rbgenr,767,Booksellers' advertisements Massachusetts Boston. rbgenr,,Booksellers' advertisements,"Massachusetts Boston, rbgenr",1.0,
Booksellers' advertisements Massachusetts Newburyport. rbgenr,769,Booksellers' advertisements Massachusetts Newburyport. rbgenr,,Booksellers' advertisements,"Massachusetts Newburyport, rbgenr",1.0,
Booksellers' advertisements Massachusetts Worcester. rbgenr,771,Booksellers' advertisements Massachusetts Worcester. rbgenr,,Booksellers' advertisements,"Massachusetts Worcester, rbgenr",1.0,
Booksellers' advertisements New Hampshire Exeter. rbgenr,,,,,,,
Booksellers' advertisements New Hampshire Portsmouth. rbgenr,,,,,,,
Booksellers' advertisements New York (State) Albany. rbgenr,776,Booksellers' advertisements New York (State) Albany. rbgenr,,Booksellers' advertisements,"New York (State) Albany, rbgenr",1.0,
Booksellers' advertisements New York (State) New York. rbgenr,780,Booksellers' advertisements New York (State) New York. rbgenr,,Booksellers' advertisements,"New York (State) New York, rbgenr",1.0,
Booksellers' advertisements New York (State) Troy. rbgenr,,,,,,,
Booksellers' advertisements New York 19th century. rbgenr,,,,,,,
Booksellers' advertisements Pennsylvania 18th century. rbgenr,783,Booksellers' advertisements Pennsylvania 18th century. rbgenr,,Booksellers' advertisements,"Pennsylvania 18th century, rbgenr",1.0,
Booksellers' advertisements Pennsylvania 19th century. rbgenr,784,Booksellers' advertisements Pennsylvania 19th century. rbgenr,,Booksellers' advertisements,"Pennsylvania 19th century, rbgenr",1.0,
Booksellers' advertisements Pennsylvania Philadelphia. rbgenr,787,Booksellers' advertisements Pennsylvania Philadelphia. rbgenr,,Booksellers' advertisements,"Pennsylvania Philadelphia, rbgenr",1.0,
Booksellers' advertisements. rbgenr,792,Booksellers' advertisements. rbgenr,,Booksellers' advertisements,rbgenr,1.0,
Booksellers' catalogs England London 1930. rbgenr,797,Booksellers' catalogs England London 1930. rbgenr,,Booksellers' catalogs,"England London 1930, rbgenr",1.0,
Booksellers' catalogs England London 1931. rbgenr,798,Booksellers' catalogs England London 1931. rbgenr,,Booksellers' catalogs,"England London 1931, rbgenr",1.0,
Booksellers' catalogs England London 1935. rbgenr,,,,,,,
Booksellers' catalogs Italy Milan 1949. rbgenr,,,,,,,
Booksellers' catalogs Italy Milan 1953. rbgenr,,,,,,,
Booksellers' catalogs New York (State) New York 1930. rbgenr,,,,,,,
Booksellers' catalogs New York (State) New York 1958. rbgenr,,,,,,,
Booksellers' catalogs New York (State) New York 1962. rbgenr,,,,,,,
Booksellers' catalogs. rbgenr,,,,,,,
Booksellers' catalogues Maryland Baltimore. rbgenr,,,,,,,
Booksellers' catalogues Massachusetts Boston. rbgenr,802,Booksellers' catalogues Massachusetts Boston. rbgenr,,Booksellers' catalogs,"Massachusetts Boston, rbgenr",0.95,
Booksellers' catalogues New York (State) New York. rbgenr,,,,,,,
Booksellers' catalogues Pennsylvania Philadelphia. rbgenr,804,Booksellers' catalogues Pennsylvania Philadelphia. rbgenr,,Booksellers' catalogs,"Pennsylvania Philadelphia, rbgenr",0.95,
Booksellers' catalogues Rhode Island Providence. rbgenr,805,Booksellers' catalogues Rhode Island Providence. rbgenr,,Booksellers' catalogs,"Rhode Island Providence, rbgenr",0.95,
Booksellers' labels (Provenance) rbprov MMeT,,,,,,,
Bookseller's labels (Publishing) rbpub PPT,,,,,,,
Broadsheet format. rbpri,,,,,,,
Broadside poems California San Francisco 20th century. rbgenr,817,Broadside poems California San Francisco 20th century. rbgenr,,Broadside poems,"California San Francisco 20th century, rbgenr",0.9,
Broadside poems. rbgenr,819,Broadside poems. rbgenr,,Broadside poems,rbgenr,1.0,
Broadsides England London 18th century. rbgenr,,,,,,,
Broadsides. rbgenr,828,Broadsides. rbgenr,,Broadsides,rbgenr,1.0,
Calendars New York (State) New York 1996. rbgenr,,,,,,,
Calf bindings (Binding) 17th century. rbbin MMeT,835,Calf bindings (Binding) 17th century. rbbin MMeT,,Calf bindings,"(Binding) 17th century, rbbin, MMeT",1.0,
Calf bindings (Binding) 18th century. rbbin MMeT,836,Calf bindings (Binding) 18th century. rbbin MMeT,,Calf bindings,"(Binding) 18th century, rbbin, MMeT",1.0,
Calf bindings (Binding) England London 18th century rbbin MMeT,,,,,,,
Calf bindings (Binding) rbbin,842,Calf bindings (Binding) rbbin,,Calf bindings,"(Binding), rbbin",1.0,
Calf bindings (Binding) rbbin MMeT,843,Calf bindings (Binding) rbbin MMeT,,Calf bindings,"(Binding), rbbin, MMeT",1.0,
Calf bindings (Binding). rbbin MMeT,,,,,,,
Calf bindings (Bindings) rbbin MMeT,,,,,,,
Calf bindings (Bindings). rbbin MMeT,,,,,,,
Campaign literature 1852. rbgenr,,,,,,,
Campaign literature 1860 United States. rbgenr,,,,,,,
Campaign literature 1864 Republican. rbgenr,,,,,,,
Campaign literature. rbgenr,,,,,,,
Cancel leaves (Printing) rbpri,851,Cancel leaves (Printing) rbpri,,Cancel leaves,"(Printing), rbpri",1.0,
Cancel leaves (Printing). rbpri,852,Cancel leaves (Printing). rbpri,,Cancel leaves,rbpri,1.0,
Cancellation (Publishing) rbpub CtY-BR,,,,,,,
Captivity narratives. rbgenr,860,Captivity narratives. rbgenr,,Captivity narratives,rbgenr,1.0,
Caricatures Great Britain 19th century. rbgenr,,,,,,,
Cast lists. rbgenr,,,,,,,
Catalogues. rbgenr,900,Catalogues. rbgenr,,Catalogs,rbgenr,0.9,British spelling variant
Catechisms Sweden Stockholm 17th century. rbgenr,,,,,,,
Catechisms. rbgenr,905,Catechisms. rbgenr,,Catechisms,rbgenr,1.0,
Celestial atlases. rbgenr,909,Celestial atlases. rbgenr,,Celestial atlases,rbgenr,1.0,
Century sermons 1773. rbgenr,,,,,,,
Century sermons 1794. rbgenr,,,,,,,
Certificates. rbgenr,,,,,,,
Chained bindings (Bindings) Italy 2007. rbbin,,,,,,,
Chainlines (Paper) rbpap,916,Chainlines (Paper) rbpap,,Chainlines,"(Paper), rbpap",1.0,
Chapbooks. rbgenr,919,Chapbooks. rbgenr,,Chapbooks,rbgenr,1.0,
Christmas sermons 1773. rbgenr,,,,,,,
Chronicles. rbgenr,929,Chronicles. rbgenr,,Chronicles,rbgenr,1.0,
Clasps (Binding) rbbin MMeT,940,Clasps (Binding) rbbin MMeT,,Clasps,"(Binding), rbbin, MMeT",1.0,
Cloth bindings (Binding) 18th century. rbbin MMeT,,,,,,,
Cloth wrappers England London 19th century. rbbin,,,,,,,
College catalogs. rbgenr,952,College catalogs. rbgenr,,College catalogs,rbgenr,1.0,
Color printing (Printing) rbpri,959,Color printing (Printing) rbpri,,Color printing,"(Printing), rbpri",1.0,
Color printing (Printing). rbpri,961,Color printing (Printing). rbpri,,Color printing,rbpri,0.95,
color printing. rbpri,,,,,,,
Comedies France 19th century. rbgenr,,,,,,,
Comedies United States 20th century. rbgenr,,,,,,,
Comedies. rbgenr,967,Comedies. rbgenr,,Comedies,rbgenr,1.0,
Comic books. rbgenr,973,Comic books. rbgenr,,Comic books,rbgenr,1.0,
Conference proceedings. rbgenr,,,,,,,
Congressional addresses 1830. rbgenr,,,,,,,
Congressional addresses 1838. rbgenr,,,,,,,
Congressional addresses 1846. rbgenr,,,,,,,
Congressional addresses 1848. rbgenr,,,,,,,
Congressional addresses 1850. rbgenr,,,,,,,
Congressional addresses 1854. rbgenr,,,,,,,
Congressional addresses 1855. rbgenr,,,,,,,
Congressional addresses 1856. rbgenr,,,,,,,
Congressional addresses 1858. rbgenr,,,,,,,
Congressional addresses 1860. rbgenr,,,,,,,
Congressional addresses 1861. rbgenr,,,,,,,
Congressional addresses 1862. rbgenr,,,,,,,
Congressional addresses 1864. rbgenr,,,,,,,
Congressional addresses 1865. rbgenr,,,,,,,
Congressional addresses United States 19th centur. rbgenr,,,,,,,
Congressional addresses United States 19th century. rbgenr,,,,,,,
Congressional addresses. rbgenr,,,,,,,
Constitutions. rbgenr,,,,,,,
Contemporary bindings (Binding) 16th century. rbbin MMeT,,,,,,,
Contemporary bindings (Binding) rbbin MMeT,,,,,,,
Contemporary bindings. rbmscv MMeT,,,,,,,
Convicts' addresses. rbgenr,,,,,,,
Cookbooks 1930-1939. rbgenr,,,,,,,
Cookbooks 2000-2009. rbgenr,,,,,,,
Cookbooks Italy 1970-1979. rbgenr,,,,,,,
Cookbooks Pennsylvania 1865. rbgenr,,,,,,,
Cookbooks. rbgenr,1011,Cookbooks. rbgenr,,Cookbooks,rbgenr,1.0,
Corrected proofs (Printing) rbpri,,,,,,,
Correspondence. rbgenr,1018,Correspondence. rbgenr,,Correspondence,rbgenr,1.0,
Corrugated board bindings (Binding) Scotland Edinburgh 19th century. rbbin,,,,,,,
Deckled edge. rbpap,1030,Deckled edge. rbpap,,Deckled edges,rbpap,0.9,
Deckled edges (Paper) rbpap,1032,Deckled edges (Paper) rbpap,,Deckled edges,"(Paper), rbpap",1.0,
Deckled edges (Paper). rbpap CaBViV,,,,,,,
Deckled edges. rbpap,1034,Deckled edges. rbpap,,Deckled edges,rbpap,1.0,
Decorated paper bindings (Binding) rbbin,,,,,,,
Decorated papers (Binding) rbbin MMeT,,,,,,,
Decorated papers. rbpap,,,,,,,
Dedication sermons 1769. rbgenr,,,,,,,
Dedication sermons 1795. rbgenr,,,,,,,
Dedication sermons 1796. rbgenr,,,,,,,
Deerskin bindings (Binding) rbbin MMeT,,,,,,,
Dialogues. rbgenr,1048,Dialogues. rbgenr,,Dialogues,rbgenr,1.0,
Diaries 18th century. rbgenr,,,,,,,
Diaries 19th century. rbgenr,1051,Diaries 19th century. rbgenr,,Diaries,"19th century, rbgenr",1.0,
Diaries. rbgenr,1057,Diaries. rbgenr,,Diaries,rbgenr,1.0,
Diaries. rbgenr E8W,,,,,,,
Dictionaries Biloxi. rbgenr,,,,,,,
Dictionaries English. rbgenr,1065,Dictionaries English. rbgenr,,Dictionaries,"English, rbgenr",0.95,
Dictionaries Greek. rbgenr,,,,,,,
Dictionaries rbgenr,1072,Dictionaries rbgenr,,Dictionaries,rbgenr,1.0,
Dictionaries. rbgenr,1074,Dictionaries. rbgenr,,Dictionaries,rbgenr,1.0,
Dime novels. rbgenr,1077,Dime novels. rbgenr,,Dime novels,rbgenr,1.0,
Directories. rbgenr,1082,Directories. rbgenr,,Directories,rbgenr,1.0,
"Divine Word Missionaries Library (Bay St. Louis, Miss.) rbgenr",,,,,,,
"Divine Word Missionaries Library (Bay St. Louis, Miss.). rbgenr",,,,,,,
Drawing books England London 1850. rbgenr,,,,,,,
Dummies (Publishing) cty-br. rbpub,,,,,,,
Dummies (Publishing) rbpub,1090,Dummies (Publishing) rbpub,,Dummies,"(Publishing), rbpub",0.9,
Dummies (Publishing) United States 20th century. rbpub,,,,,,,
Duodecimo format (Printing) England London 18th century. rbpri,1094,Duodecimo format (Printing) England London 18th century. rbpri,,Duodecimo format,"(Printing) England London 18th century, rbpri",1.0,
Duodecimo format (Printing) France Rouen 18th century. rbpri,,,,,,,
