id	original	status	updated_term	extraneous_text	confidence	error	GenreTerms
1243,Fantasy literature 1940. rbgenr,,Fantasy literature,"1940, rbgenr",1.00,
1244,Fantasy literature 1945. rbgenr,,Fantasy literature,"1945, rbgenr",1.00,
1245,Fantasy literature 1952. rbgenr,,Fantasy literature,"1952, rbgenr",1.00,
1246,Fantasy literature 1954. rbgenr,,Fantasy literature,"1954, rbgenr",1.00,
1247,Fantasy literature 1963. rbgenr,,Fantasy literature,"1963, rbgenr",1.00,
1248,Fantasy literature 1970. rbgenr,,Fantasy literature,"1970, rbgenr",1.00,
1249,Fantasy literature 1977. rbgenr,,Fantasy literature,"1977, rbgenr",1.00,
1250,Fantasy literature 1981. rbgenr,,Fantasy literature,"1981, rbgenr",1.00,
1251,Fantasy literature 1983. rbgenr,,Fantasy literature,"1983, rbgenr",1.00,
1252,Fantasy literature 1985. rbgenr,,Fantasy literature,"1985, rbgenr",1.00,
1253,Fantasy literature 1993. rbgenr,,Fantasy literature,"1993, rbgenr",1.00,
1254,Fantasy literature 2006. rbgenr,,Fantasy literature,"2006, rbgenr",1.00,
1255,Fantasy literature 2008. rbgenr,,Fantasy literature,"2008, rbgenr",1.00,
1256,Fantasy literature New York (State) New York 20th century. rbgenr,,Fantasy literature,"New York (State) New York 20th century, rbgenr",0.90,
1257,Fantasy literature United States. rbgenr,,Fantasy literature,"United States, rbgenr",0.90,
1258,Fantasy literature. rbgenr,,Fantasy literature,rbgenr,1.00,
1259,Fantasy literature. rbmscv,,Fantasy literature,rbmscv,1.00,
1260,Fanzines. rbgenr,,Fanzines,rbgenr,1.00,
1261,Farewell sermons 1750. rbgenr,,Farewell sermons,"1750, rbgenr",1.00,
1262,Farewell sermons 1794. rbgenr,,Farewell sermons,"1794, rbgenr",1.00,
1263,Fast day proclamations 1696 Mar. 27. rbgenr,,Fast-day proclamations,"1696-03-27, rbgenr",1.00,
1264,Fast day proclamations 1730 Apr. 2. rbgenr,,Fast-day proclamations,"1730-04-02, rbgenr",1.00,
1265,Fast day proclamations 1746 July 10. rbgenr,,Fast-day proclamations,"1746-07-10, rbgenr",1.00,
1266,Fast day proclamations 1755 Aug. 28. rbgenr,,Fast-day proclamations,"1755-08-28, rbgenr",1.00,
1267,Fast day proclamations 1757 Apr. 21. rbgenr,,Fast-day proclamations,"1757-04-21, rbgenr",1.00,
1268,Fast day proclamations 1757 June 30. rbgenr,,Fast-day proclamations,"1757-06-30, rbgenr",1.00,
1269,Fast day proclamations 1758 Apr. 14. rbgenr,,Fast-day proclamations,"1758-04-14, rbgenr",1.00,
1270,Fast day proclamations 1758 Apr. 6. rbgenr,,Fast-day proclamations,"1758-04-06, rbgenr",1.00,
1271,Fast day proclamations 1762 Apr. 22. rbgenr,,Fast-day proclamations,"1762-04-22, rbgenr",1.00,
1272,Fast day proclamations 1762 July 28. rbgenr,,Fast-day proclamations,"1762-07-28, rbgenr",1.00,
1273,Fast day proclamations 1763 Apr. 14. rbgenr,,Fast-day proclamations,"1763-04-14, rbgenr",1.00,
1274,Fast day proclamations 1764 Apr. 12. rbgenr,,Fast-day proclamations,"1764-04-12, rbgenr",1.00,
1275,Fast day proclamations 1764 Apr. 20. rbgenr,,Fast-day proclamations,"1764-04-20, rbgenr",1.00,
1276,Fast day proclamations 1765 Apr. 18. rbgenr,,Fast-day proclamations,"1765-04-18, rbgenr",1.00,
1277,Fast day proclamations 1765 Apr. 5. rbgenr,,Fast-day proclamations,"1765-04-05, rbgenr",1.00,
1278,Fast day proclamations 1766 Apr. 24. rbgenr,,Fast-day proclamations,"1766-04-24, rbgenr",1.00,
1279,Fast day proclamations 1766 May 21. rbgenr,,Fast-day proclamations,"1766-05-21, rbgenr",1.00,
1280,Fast day proclamations 1767 Apr. 9. rbgenr,,Fast-day proclamations,"1767-04-09, rbgenr",1.00,
1281,Fast day proclamations 1768 Apr. 14. rbgenr,,Fast-day proclamations,"1768-04-14, rbgenr",1.00,
1282,Fast day proclamations 1769 Apr. 6. rbgenr,,Fast-day proclamations,"1769-04-06, rbgenr",1.00,
1283,Fast day proclamations 1775 July 20. rbgenr,,Fast-day proclamations,"1775-07-20, rbgenr",1.00,
1284,Fast day proclamations 1780 Apr. 26. rbgenr,,Fast-day proclamations,"1780-04-26, rbgenr",1.00,
1285,Fast day proclamations 1783 Feb. 13. rbgenr,,Fast-day proclamations,"1783-02-13, rbgenr",1.00,
1286,Fast day proclamations 1786 Apr. 6. rbgenr,,Fast-day proclamations,"1786-04-06, rbgenr",1.00,
1287,Fast day sermons 1727 Nov. 1. rbgenr,,Fast-day sermons,"1727-11-01, rbgenr",1.00,
1288,Fast day sermons 1755 Mar. 20. rbgenr,,Fast-day sermons,"1755-03-20, rbgenr",1.00,
1289,Fast day sermons 1793 Apr. 11. rbgenr,,Fast-day sermons,"1793-04-11, rbgenr",1.00,
1290,Fast day sermons. rbgenr,,Fast-day sermons,rbgenr,1.00,
1291,Festival books Germany Frankfurt 1585. rbgenr,,Festival books,"Germany Frankfurt 1585, rbgenr",1.00,
1292,Festival books Italy 18th century. rbgenr,,Festival books,"Italy 18th century, rbgenr",1.00,
1293,Festschriften England London 1982. rbgenr,,Festschriften,"England London 1982, rbgenr",1.00,
1294,Festschriften. rbgenr,,Festschriften,rbgenr,1.00,
1295,Feuilletons,,Feuilletons,,0.00,no_match (term not in rbms_terms.json)
1296,Fiction 1854. rbmscv,,Fiction,"1854, rbmscv",1.00,
1297,Fiction England 18th century. rbgenr,,Fiction,"England 18th century, rbgenr",1.00,
1298,Fiction English 19th century. rbgenr,,Fiction,"English 19th century, rbgenr",1.00,
1299,Fiction English 20th century. rbgenr,,Fiction,"English 20th century, rbgenr",1.00,
1300,Fiction English. rbmscv,,Fiction,"English, rbmscv",1.00,
1301,Fiction French 20th century. rbgenr,,Fiction,"French 20th century, rbgenr",1.00,
1302,Fiction Great Britain 20th century. rbgenr,,Fiction,"Great Britain 20th century, rbgenr",1.00,
1303,Fiction rbgenr,,Fiction,rbgenr,1.00,
1304,Fiction. rbgenr,,Fiction,rbgenr,1.00,
1305,Fiction. rbmscv,,Fiction,rbmscv,1.00,
1306,Fillet tools (Binding) 17th century. rbbin MMeT,,Fillet tooling,"(Binding) 17th century, rbbin, MMeT",1.00,
1307,Fillet tools (Binding) 18th century. rbbin,,Fillet tooling,"(Binding) 18th century, rbbin",0.95,
1308,Fillet tools (Binding) 18th century. rbbin MMeT,,Fillet tooling,"(Binding) 18th century, rbbin, MMeT",0.95,
1309,Fillet tools (Binding) England 17th century. rbbin MMeT,,Fillet tooling,"(Binding) England 17th century, rbbin, MMeT",0.95,
1310,Fillet tools (Binding) England 18th century. rbbin MMeT,,Fillet tooling,"(Binding) England 18th century, rbbin, MMeT",0.95,
1311,Fillet tools (Binding) England 19th century. rbbin MMeT,,Fillet tooling,"(Binding) England 19th century, rbbin, MMeT",0.95,
1312,Fillet tools (Binding) England London 18th century rbbin MMeT,,Fillet tooling,"(Binding) England London 18th century, rbbin, MMeT",0.95,
1313,Fillet tools (Binding) England. rbbin MMeT,,Fillet tooling,"(Binding) England, rbbin, MMeT",0.95,
1314,Fillet tools (Binding) rbbin,,Fillet tooling,"(Binding), rbbin",1.00,
1315,Fillet tools (Binding) rbbin MMeT,,Fillet tooling,"(Binding), rbbin, MMeT",0.95,
1316,Fillet tools (Binding) rbbin MMeT,,Fillet tooling,"(Binding), rbbin, MMeT",0.95,
1317,Film scripts 20th century. rbgenr,,Film scripts,"20th century, rbgenr",1.00,
1318,Fists (Provenance) rbprov MMeT,,Fists (Provenance),"rbprov, MMeT",0.00,no_match (term not in rbms_terms.json)
1319,Flap bindings (Binding) rbbin,,Flap bindings,"(Binding), rbbin",1.00,
1320,Flax fiber papers. rbpap,,Flax fiber papers,rbpap,1.00,
1321,Flax fibers (Paper) Iowa Iowa City 2013. rbpap,,Flax fiber papers,"(Paper) Iowa Iowa City 2013, rbpap",0.95,
1322,Flax fibers (Paper) United States 21st century. rbpap,,Flax fiber papers,"(Paper) United States 21st century, rbpap",0.95,
1323,Folio format (Printing) England 17th century. rbpri,,Folio format,"(Printing) England 17th century, rbpri",1.00,
1324,Folio format (Printing) England Cambridge 17th century. rbpri,,Folio format,"(Printing) England Cambridge 17th century, rbpri",1.00,
1325,Folio format (Printing) England London 17th century. rbpri,,Folio format,"(Printing) England London 17th century, rbpri",1.00,
1326,Folio format (Printing) England London 18th century. rbpri,,Folio format,"(Printing) England London 18th century, rbpri",1.00,
1327,Folio format (Printing) England Oxford 18th century. rbpri,,Folio format,"(Printing) England Oxford 18th century, rbpri",1.00,
1328,Folio format (Printing) France Paris 16th century. rbpri,,Folio format,"(Printing) France Paris 16th century, rbpri",1.00,
1329,Folio format (Printing) Germany Coburg 17th century. rbpri,,Folio format,"(Printing) Germany Coburg 17th century, rbpri",1.00,
1330,Folio format (Printing) Italy Bologna 16th century. rbpri,,Folio format,"(Printing) Italy Bologna 16th century, rbpri",1.00,
1331,Folio format (Printing) Italy Bologna 17th century. rbpri,,Folio format,"(Printing) Italy Bologna 17th century, rbpri",1.00,
1332,Folio format (Printing) Italy Venice 16th century. rbpri,,Folio format,"(Printing) Italy Venice 16th century, rbpri",1.00,
1333,Folio format (Printing) rbpri,,Folio format,rbpri,1.00,
1334,Folio format (Printing) Switzerland Geneva 16th century. rbpri,,Folio format,"(Printing) Switzerland Geneva 16th century, rbpri",1.00,
1335,Folio format (Printing). rbpri,,Folio format,rbpri,1.00,
1336,Folk tales 1938. rbgenr,,Folk tales,"1938, rbgenr",1.00,
1337,Folk tales 1952. rbgenr,,Folk tales,"1952, rbgenr",1.00,
1338,Folk tales 1960. rbgenr,,Folk tales,"1960, rbgenr",1.00,
1339,Folk tales 1961. rbgenr,,Folk tales,"1961, rbgenr",1.00,
1340,Folk tales 1970. rbgenr,,Folk tales,"1970, rbgenr",1.00,
1341,Folk tales 1971. rbgenr,,Folk tales,"1971, rbgenr",1.00,
1342,Folk tales 1972. rbgenr,,Folk tales,"1972, rbgenr",1.00,
1343,Folk tales 1972. rbmscv,,Folk tales,"1972, rbmscv",1.00,
1344,Folk tales 1976. rbgenr,,Folk tales,"1976, rbgenr",1.00,
1345,Folk tales 1982. rbgenr,,Folk tales,"1982, rbgenr",1.00,
1346,Folk tales 1983. rbgenr,,Folk tales,"1983, rbgenr",1.00,
1347,Folk tales 1984. rbgenr,,Folk tales,"1984, rbgenr",1.00,
1348,Folk tales 1986. rbgenr,,Folk tales,"1986, rbgenr",1.00,
1349,Folk tales 1988. rbgenr,,Folk tales,"1988, rbgenr",1.00,
1350,Folk tales 1990. rbgenr,,Folk tales,"1990, rbgenr",1.00,
1351,Folk tales 1992. rbgenr,,Folk tales,"1992, rbgenr",1.00,
1352,Folk tales 1994. rbgenr,,Folk tales,"1994, rbgenr",1.00,
1353,Folk tales 1994. rbmscv,,Folk tales,"1994, rbmscv",1.00,
1354,Folk tales 1996. rbgenr,,Folk tales,"1996, rbgenr",1.00,
1355,Folk tales 1997. rbgenr,,Folk tales,"1997, rbgenr",1.00,
1356,Folk tales 2004. rbgenr,,Folk tales,"2004, rbgenr",1.00,
1357,Folk tales. rbgenr,,Folk tales,rbgenr,1.00,
1358,Folk tales. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00278,,Folk tales,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00278",0.92,
1359,Folklore New York (State) New York 1945. rbgenr,,Folklore,"New York (State) New York 1945, rbgenr",0.95,
1360,Folklore. rbgenr,,Folklore,rbgenr,1.00,
1361,Folktales 1964. rbgenr,,Folk tales,"1964, rbgenr",0.90,
1362,Fore-edge paintings. rbmscv,,Fore-edge paintings,rbmscv,1.00,
1363,Fourth of July addresses 1793. rbgenr,,Fourth of July addresses,"1793, rbgenr",1.00,
1364,Fourth of July addresses 1855. rbgenr,,Fourth of July addresses,"1855, rbgenr",1.00,
1365,Fourth of July addresses 1875. rbgenr,,Fourth of July addresses,"1875, rbgenr",1.00,
1366,Fourth of July addresses 1876. rbgenr,,Fourth of July addresses,"1876, rbgenr",1.00,
1367,Foxing. rbpap,,Foxing,rbpap,1.00,
1368,Funeral addresses 1796. rbgenr,,Funeral addresses,"1796, rbgenr",1.00,
1369,Funeral addresses 1799. rbgenr,,Funeral addresses,"1799, rbgenr",1.00,
1370,Funeral addresses 1799. rbmscv,,Funeral addresses,"1799, rbmscv",1.00,
1371,Funeral addresses 1800. rbgenr,,Funeral addresses,"1800, rbgenr",1.00,
1372,Funeral addresses 1800. rbmscv,,Funeral addresses,"1800, rbmscv",1.00,
1373,Funeral addresses Italy 16th century. rbgenr,,Funeral addresses,"Italy 16th century, rbgenr",0.90,
1374,Funeral books Italy Rome 17th century. rbgenr,,Funeral books,"Italy Rome 17th century, rbgenr",0.95,
1375,Funeral sermons 1697. rbgenr,,Funeral sermons,"1697, rbgenr",1.00,
1376,Funeral sermons 1714. rbgenr,,Funeral sermons,"1714, rbgenr",1.00,
1377,Funeral sermons 1717. rbgenr,,Funeral sermons,"1717, rbgenr",1.00,
1378,Funeral sermons 1721. rbgenr,,Funeral sermons,"1721, rbgenr",1.00,
1379,Funeral sermons 1733. rbmscv,,Funeral sermons,"1733, rbmscv",1.00,
1380,Funeral sermons 1735. rbgenr,,Funeral sermons,"1735, rbgenr",1.00,
1381,Funeral sermons 1737. rbmscv,,Funeral sermons,"1737, rbmscv",1.00,
1382,Funeral sermons 1799. rbgenr,,Funeral sermons,"1799, rbgenr",1.00,
1383,Funeral sermons 1800. rbgenr,,Funeral sermons,"1800, rbgenr",1.00,
1384,Galley proofs (Printing) rbpri,,Galley proofs,"(Printing), rbpri",1.00,
1385,Gallows speeches,,Gallows speeches,,0.00,no_match (not in rbms_terms.json)
1386,Gauffered edges (Binding) 16th century. rbbin MMeT,,Gauffered edges,"(Binding) 16th century, rbbin, MMeT",1.00,
1387,Gauffered edges (Binding) 17th century. rbbin MMeT,,Gauffered edges,"(Binding) 17th century, rbbin, MMeT",1.00,
1388,Gauffered edges (Binding) rbbin MMeT,,Gauffered edges,"(Binding), rbbin, MMeT",1.00,
1389,Gazetteers Massachusetts. rbgenr,,Gazetteers,"Massachusetts, rbgenr",1.00,
1390,Gazetteers United States. rbgenr,,Gazetteers,"United States, rbgenr",1.00,
1391,Gazetteers. rbgenr,,Gazetteers,rbgenr,1.00,
1392,Genealogies Switzerland Zurich 17th century. rbgenr,,Genealogies,"Switzerland Zurich 17th century, rbgenr",1.00,
1393,Genealogies. rbgenr,,Genealogies,rbgenr,1.00,
1394,Gift books 1850. rbgenr,,Gift books,"1850, rbgenr",1.00,
1395,Gift books England London 1834. rbgenr,,Gift books,"England London 1834, rbgenr",1.00,
1396,Gift books Massachusetts Boston 1848. rbgenr,,Gift books,"Massachusetts Boston 1848, rbgenr",1.00,
1397,Gift books New York (State) New York 19th century. rbgenr,,Gift books,"New York (State) New York 19th century, rbgenr",1.00,
1398,Gift books Pennsylvania Philadelphia 19th century. rbmscv,,Gift books,"Pennsylvania Philadelphia 19th century, rbmscv",1.00,
1399,Gift books United States. 19th century. rbgenr,,Gift books,"United States 19th century, rbgenr",1.00,
1400,Gift books. rbgenr,,Gift books,rbgenr,1.00,
1401,Gilt edges (Binding) 16th century. rbbin MMeT,,Gilt edges,"(Binding) 16th century, rbbin, MMeT",1.00,
1402,Gilt edges (Binding) England 17th century. rbbin MMeT,,Gilt edges,"(Binding) England 17th century, rbbin, MMeT",1.00,
1403,Gilt edges (Binding) England 20th century Specimens. rbmscv,,Gilt edges,"(Binding) England 20th century Specimens, rbmscv",0.95,
1404,Gilt edges (Binding) rbbin,,Gilt edges,"(Binding), rbbin",1.00,
1405,Gilt edges (Binding) rbbin MMeT,,Gilt edges,"(Binding), rbbin, MMeT",1.00,
1406,Gilt edges (Binding) rbmscv,,Gilt edges,rbmscv,1.00,
1407,Gilt edges (Bindings) rbbin MMeT,,Gilt edges,"(Bindings), rbbin, MMeT",0.95,
1408,Gilt edges (Bindings). rbbin MMeT,,Gilt edges,"rbbin, MMeT",0.95,
1409,Gilt edges. rbmscv,,Gilt edges,rbmscv,1.00,
1410,Gilt edges. rbmscv MMeT,,Gilt edges,"rbmscv, MMeT",0.95,
1411,Girdle books. rbbin,,Girdle books,rbbin,1.00,
1412,Glossaries. rbgenr,,Glossaries,rbgenr,1.00,
1413,Goatskin bindings (Binding) rbbin MMeT,,Goatskin bindings,"(Binding), rbbin, MMeT",1.00,
1414,Gold blocked bindings (Binding) rbbin MMeT,,Gold blocked bindings,"(Binding), rbbin, MMeT",1.00,
1415,Gold blocked bindings. rbmscv,,Gold blocked bindings,rbmscv,1.00,
1416,Gold tooled bindings (Binding) rbbin MMeT,,Gold tooled bindings,"(Binding), rbbin, MMeT",1.00,
1417,Gold tooled bindings (Binding) rbmscv,,Gold tooled bindings,rbmscv,1.00,
1418,Gold tooled bindings. rbmscv MMeT,,Gold tooled bindings,"rbmscv, MMeT",0.95,
1419,Gothic novels. rbgenr,,Gothic novels,rbgenr,1.00,
1420,Grammar entries (various),,Grammars,,0.00,no_match (original ambiguous — not a direct source line)
1421,Grammars Italian. rbgenr,,Grammars,"Italian, rbgenr",1.00,
1422,Grammars. rbgenr,,Grammars,rbgenr,1.00,
1423,Guidebooks 20th century. rbgenr,,Guidebooks,"20th century, rbgenr",1.00,
1424,Guidebooks Austria 1887. rbgenr,,Guidebooks,"Austria 1887, rbgenr",1.00,
1425,Guidebooks Egypt 1908. rbgenr,,Guidebooks,"Egypt 1908, rbgenr",1.00,
1426,Guidebooks England London 1894. rbgenr,,Guidebooks,"England London 1894, rbgenr",1.00,
1427,Guidebooks Germany 1887. rbgenr,,Guidebooks,"Germany 1887, rbgenr",1.00,
1428,Guidebooks Germany 1892. rbgenr,,Guidebooks,"Germany 1892, rbgenr",1.00,
1429,Guidebooks Germany Leipzig 20th century. rbgenr,,Guidebooks,"Germany Leipzig 20th century, rbgenr",1.00,
1430,Guidebooks Greece 1905. rbgenr,,Guidebooks,"Greece 1905, rbgenr",1.00,
1431,Guidebooks Italy 16th century. rbgenr,,Guidebooks,"Italy 16th century, rbgenr",1.00,
1432,Guidebooks Italy 1904. rbgenr,,Guidebooks,"Italy 1904, rbgenr",1.00,
1433,Guidebooks New York (N.Y.) 20th century. rbgenr,,Guidebooks,"New York (N.Y.) 20th century, rbgenr",1.00,
1434,Guidebooks Switzerland 1891. rbgenr,,Guidebooks,"Switzerland 1891, rbgenr",1.00,
1435,Guidebooks Switzerland 1895. rbgenr,,Guidebooks,"Switzerland 1895, rbgenr",1.00,
1436,Guidebooks. rbgenr,,Guidebooks,rbgenr,1.00,
1437,Hahnemu?hler (paper). rbpap,,,"Hahnemu?hler (paper), rbpap",0.00,no_match (term not in rbms_terms.json or corrupted diacritics)
1438,Half bindings (Binding) 19th century. rbbin MMeT,,Half bindings,"(Binding) 19th century, rbbin, MMeT",1.00,
1439,Half bindings (Binding) rbbin,,Half bindings,"(Binding), rbbin",1.00,
1440,Half bindings (Binding) rbbin MMeT,,Half bindings,"(Binding), rbbin, MMeT",1.00,
1441,Half bindings (Binding). rbbin MMeT,,Half bindings,"rbbin, MMeT",0.95,
1442,Half bindings (Bindings). rbbin,,Half bindings,"(Bindings), rbbin",0.95,
1443,Half bindings(Binding) rbbin MMeT,,Half bindings,"(Binding), rbbin, MMeT",0.85,formatting irregularity in original
1444,Half bindings. rbmscv,,Half bindings,rbmscv,1.00,
1445,Handmade paper (Paper). rbpap,,Handmade papers,rbpap,0.95,
1446,Handmade papers (Paper) 21st century. rbpap,,Handmade papers,"(Paper) 21st century, rbpap",1.00,
1447,Handmade papers (Paper) England 20th century. rbpap,,Handmade papers,"(Paper) England 20th century, rbpap",1.00,
1448,Handmade papers (Paper) England London 19th century. rbpap,,Handmade papers,"(Paper) England London 19th century, rbpap",1.00,
1449,Handmade papers (Paper) Korea. rbpap,,Handmade papers,"(Paper) Korea, rbpap",1.00,
1450,Handmade papers (Paper) Mexico 21st Century. rbpap,,Handmade papers,"(Paper) Mexico 21st century, rbpap",1.00,
1451,Handmade papers (Paper) Pennsylvania Philadelphia. rbpap,,Handmade papers,"(Paper) Pennsylvania Philadelphia, rbpap",1.00,
1452,Handmade papers (Paper) rbmscv,,Handmade papers,"(Paper), rbmscv",1.00,
1453,Handmade papers (Paper) rbpap,,Handmade papers,"(Paper), rbpap",1.00,
1454,Handmade papers. rbmscv,,Handmade papers,rbmscv,1.00,
1455,Hand-made papers. rbpap,,Handmade papers,rbpap,0.90,
1456,Hand-made papers. rbpap,,Handmade papers,rbpap,0.90,
1457,Hemp fibers (Paper) United States 21st century. rbpap,,Hemp fiber papers,"United States 21st century, rbpap",0.95,
1458,Herbals England London 1636 rbgenr,,Herbals,"England London 1636, rbgenr",1.00,
1459,Herbals England London 1636. rbgenr,,Herbals,"England London 1636, rbgenr",1.00,
1460,Herbals England London 17th century. rbgenr,,Herbals,"England London 17th century, rbgenr",1.00,
1461,Herbals. rbgenr,,Herbals,rbgenr,1.00,
1462,Herbals. rbmscv,,Herbals,rbmscv,1.00,
1463,Historical drama. rbgenr,,English drama,"historical drama mapped to 'English drama'?, rbgenr",0.60,approximate mapping — no exact 'Historical drama' term in RBMS list
1464,Historical fiction rbgenr,,Historical fiction,rbgenr,1.00,
1465,Historical fiction United States 19th century. rbgenr,,Historical fiction,"United States 19th century, rbgenr",1.00,
1466,Historical fiction. rbgenr,,Historical fiction,rbgenr,1.00,
1467,Historical works United States 17th century. rbgenr,,Historical works,"United States 17th century, rbgenr",1.00,
1468,Hygiene. rbgenr,,Hygiene,,0.00,no_match (not in rbms_terms.json)
1469,Hymnals England London 18th century. rbgenr,,Hymnals,"England London 18th century, rbgenr",1.00,
1470,Hymnals. rbgenr,,Hymnals,rbgenr,1.00,
1471,Hymnals. rbmscv,,Hymnals,rbmscv,1.00,
1472,Hymns. rbgenr,,Hymns,rbgenr,1.00,
1473,Hymns. rbmscv,,Hymns,rbmscv,1.00,
1474,Illegible markings (Provenance) rbprov MMeT,,Illegible markings,"(Provenance), rbprov, MMeT",1.00,
1475,Illuminations Color Reproductions. rbgenr,,,"Illuminations Color Reproductions, rbgenr",0.00,no_match (not in rbms_terms.json)
1476,Illustrated books. rbgenr,,Illustrated works,rbgenr,0.85,
1477,Illustrated works 19th century. rbgenr,,Illustrated works,"19th century, rbgenr",1.00,
1478,Illustrated works 20th century. rbgenr,,Illustrated works,"20th century, rbgenr",1.00,
1479,Illustrated works California San Francisco 20th century. rbgenr,,Illustrated works,"California San Francisco 20th century, rbgenr",1.00,
1480,Illustrated works California San Marino 20th century. rbgenr,,Illustrated works,"California San Marino 20th century, rbgenr",1.00,
1481,Illustrated works Canada 21st century. rbgenr,,Illustrated works,"Canada 21st century, rbgenr",1.00,
1482,Illustrated works England 17th century. rbgenr,,Illustrated works,"England 17th century, rbgenr",1.00,
1483,Illustrated works England Cambridge 20th century. rbgenr,,Illustrated works,"England Cambridge 20th century, rbgenr",1.00,
1484,Illustrated works England London 18th century. rbgenr,,Illustrated works,"England London 18th century, rbgenr",1.00,
1485,Illustrated works England London 19th century. rbgenr,,Illustrated works,"England London 19th century, rbgenr",1.00,
1486,Illustrated works England London 20th century. rbgenr,,Illustrated works,"England London 20th century, rbgenr",1.00,
1487,Illustrated works France Clairvaux 20th century. rbgenr,,Illustrated works,"France Clairvaux 20th century, rbgenr",1.00,
1488,Illustrated works France Paris 20th century. rbgenr,,Illustrated works,"France Paris 20th century, rbgenr",1.00,
1489,Illustrated works Germany 16th century. rbgenr,,Illustrated works,"Germany 16th century, rbgenr",1.00,
1490,Illustrated works Germany Frankfurt am Main 17th century. rbgenr,,Illustrated works,"Germany Frankfurt am Main 17th century, rbgenr",1.00,
1491,Illustrated works Great Britain 20th century. rbgenr,,Illustrated works,"Great Britain 20th century, rbgenr",1.00,
1492,Illustrated works Italy Milan 18th century. rbgenr,,Illustrated works,"Italy Milan 18th century, rbgenr",1.00,
1493,Illustrated works Massachusetts Boston 1898. rbgenr,,Illustrated works,"Massachusetts Boston 1898, rbgenr",1.00,
1494,Illustrated works Massachusetts Boston 1916. rbgenr,,Illustrated works,"Massachusetts Boston 1916, rbgenr",1.00,
1495,Illustrated works Massachusetts Boston 1922. rbgenr,,Illustrated works,"Massachusetts Boston 1922, rbgenr",1.00,
1496,Illustrated works Massachusetts Boston 1974. rbgenr,,Illustrated works,"Massachusetts Boston 1974, rbgenr",1.00,
1497,Illustrated works Massachusetts Boston 20th century. rbgenr,,Illustrated works,"Massachusetts Boston 20th century, rbgenr",1.00,
1498,Illustrated works New York (State) New York 1936. rbgenr,,Illustrated works,"New York (State) New York 1936, rbgenr",1.00,
1499,Illustrated works New York (State) New York 1984. rbgenr,,Illustrated works,"New York (State) New York 1984, rbgenr",1.00,
1500,Illustrated works New York (State) New York 2016. rbgenr,,Illustrated works,"New York (State) New York 2016, rbgenr",1.00,
1501,Illustrated works New York New York 1899. rbgenr,,Illustrated works,"New York New York 1899, rbgenr",1.00,
1502,Illustrated works New York New York 1900-1909. rbgenr,,Illustrated works,"New York New York 1900-1909, rbgenr",1.00,
1503,Illustrated works New York New York 1905. rbgenr,,Illustrated works,"New York New York 1905, rbgenr",1.00,
1504,Illustrated works New York New York 1944. rbgenr,,Illustrated works,"New York New York 1944, rbgenr",1.00,
1505,Illustrated works New York New York 1977. rbgenr,,Illustrated works,"New York New York 1977, rbgenr",1.00,
1506,Illustrated works rbgenr,,Illustrated works,rbgenr,1.00,
1507,Illustrated works rbgenr. lcgft,,Illustrated works,"rbgenr, lcgft",0.90,
1508,Illustrated works United States 1978. rbgenr,,Illustrated works,"United States 1978, rbgenr",1.00,
1509,Illustrated works United States 21st century. rbgenr,,Illustrated works,"United States 21st century, rbgenr",1.00,
1510,Illustrated works United States Washington (D.C.) 1969. rbgenr,,Illustrated works,"United States Washington (D.C.) 1969, rbgenr",1.00,
1511,Illustrated works Vermont Newark (Town) 20th century. rbgenr,,Illustrated works,"Vermont Newark (Town) 20th century, rbgenr",0.90,
1512,Illustrated works. rbgenr,,Illustrated works,rbgenr,1.00,
1513,Illustrated works. rbmscv,,Illustrated works,rbmscv,1.00,
1514,Illustrators' presentation inscription (Provenance) Pinkney 1995. rbmscv,,Illustrators' presentation inscription,"(Provenance) Pinkney 1995, rbmscv",0.90,
1515,Imaginary conversations England London 17th century. rbgenr,,Imaginary conversations,"England London 17th century, rbgenr",1.00,
1516,Imaginary conversations England London 18th century. rbgenr,,Imaginary conversations,"England London 18th century, rbgenr",1.00,
1517,Imaginary voyages 1926. rbgenr,,Imaginary voyages,"1926, rbgenr",1.00,
1518,Imaginary voyages 1940. rbgenr,,Imaginary voyages,"1940, rbgenr",1.00,
1519,Imaginary voyages 1945. rbgenr,,Imaginary voyages,"1945, rbgenr",1.00,
1520,Imaginary voyages 1981. rbgenr,,Imaginary voyages,"1981, rbgenr",1.00,
1521,Imaginary voyages 1981. rbmscv,,Imaginary voyages,"1981, rbmscv",1.00,
1522,Imaginary voyages. rbgenr,,Imaginary voyages,rbgenr,1.00,
1523,Imperfect paper reams,,Imperfect paper reams,,0.00,no_match (not in rbms_terms.json)
1524,Imposition errors (Printing) NNC rbpri,,Imposition errors,"(Printing) NNC, rbpri",1.00,
1525,Imposition errors (Printing) rbpri,,Imposition errors,"(Printing), rbpri",1.00,
1526,Imprimaturs (Printing) Italy 17th century. rbpri,,Imprimaturs,"(Printing) Italy 17th century, rbpri",1.00,
1527,Imprimaturs (Printing) rbpri,,Imprimaturs,"(Printing), rbpri",1.00,
1528,Imprimaturs (Publishing) rbpub,,Imprimaturs,"(Publishing), rbpub",1.00,
1529,Incunabula (Genre). rbgenr,,Incunabula,rbgenr,1.00,
