id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
1754,1787. rbgenr,no_match,,1787; rbgenr,0,
1755,1791. rbgenr,no_match,,1791; rbgenr,0,
1756,1817. rbgenr,no_match,,1817; rbgenr,0,
1757,1834. rbgenr,no_match,,1834; rbgenr,0,
1758,1841. rbgenr,no_match,,1841; rbgenr,0,
1759,1842. rbgenr,no_match,,1842; rbgenr,0,
1760,1843. rbgenr,no_match,,1843; rbgenr,0,
1761,1857. rbgenr,no_match,,1857; rbgenr,0,
1762,1868. rbgenr,no_match,,1868; rbgenr,0,
1763,American 19th century. rbgenr,no_match,,American 19th century; rbgenr,0,qualifier-only
1764,American 20th century. rbgenr,no_match,,American 20th century; rbgenr,0,
1765,California 20th century. rbgenr,no_match,,California 20th century; rbgenr,0,
1766,California Berkeley 20th century. rbgenr,no_match,,California Berkeley 20th century; rbgenr,0,
1767,California Los Angeles 20th century. rbgenr,no_match,,California Los Angeles 20th century; rbgenr,0,
1768,California San Francisco 20th century. rbgenr,no_match,,California San Francisco 20th century; rbgenr,0,
1769,Connecticut 20th century. rbgenr,no_match,,Connecticut 20th century; rbgenr,0,
1770,Connecticut Norfolk 20th century. rbgenr,no_match,,Connecticut Norfolk 20th century; rbgenr,0,
1771,English 16th century. rbgenr,no_match,,English 16th century; rbgenr,0,
1772,English 17th century. rbgenr,no_match,,English 17th century; rbgenr,0,
1773,English 18th century. rbgenr,no_match,,English 18th century; rbgenr,0,
1774,English 20th century. rbgenr,no_match,,English 20th century; rbgenr,0,
1775,Great Britain 20th century. rbgenr,no_match,,Great Britain 20th century; rbgenr,0,
1776,New York (State) 20th century. rbgenr,no_match,,New York (State) 20th century; rbgenr,0,
1777,New York (State) New Rochelle 20th century. rbgenr,no_match,,New York (State) New Rochelle 20th century; rbgenr,0,
1778,Ontario Toronto 20th century. rbgenr,no_match,,Ontario Toronto 20th century; rbgenr,0,
1779,Oregon 20th century. rbgenr,no_match,,Oregon 20th century; rbgenr,0,
1780,Pennsylvania Pittsburgh 20th century. rbgenr,no_match,,Pennsylvania Pittsburgh 20th century; rbgenr,0,
1781,Texas Houston 20th century. rbgenr,no_match,,Texas Houston 20th century; rbgenr,0,
1782,United States 18th century. rbgenr,no_match,,United States 18th century; rbgenr,0,
1783,United States 21st century. rbgenr,no_match,,United States 21st century; rbgenr,0,
1784,inscriptions (Provenance) rbprov MMeT,matched,Inscriptions (Provenance),"rbprov, MMeT",0.95,
1785,figures (Printing) rbpri,matched,Figures (Printing),rbpri,0.95,
1786,figures (Printing). rbpri,matched,Figures (Printing),rbpri,0.95,
1787,lists New Jersey Camden 1929. rbgenr,matched,Lists,New Jersey Camden 1929; rbgenr,0.9,
1788,waste (Binding) England 19th century. rbbin MMeT,matched,Printed waste (Binding),"England 19th century; rbbin, MMeT",0.75,
1789,wrappers (Binding) 19th century. rbbin MMeT,matched,Printed wrappers,"(Binding) 19th century; rbbin, MMeT",0.9,
1790,advertisements Maryland Baltimore 20th century. rbgenr,matched,Booksellers' advertisements,Maryland Baltimore 20th century; rbgenr,0.95,
1791,advertisements Virginia Petersburg. rbgenr,matched,Booksellers' advertisements,Virginia Petersburg; rbgenr,0.95,
1792,devices (Printing) 1522. rbpri,matched,Devices (Printing),1522; rbpri,0.95,
1793,devices (Printing) England Berkshire 20th century. rbpri,matched,Devices (Printing),England Berkshire 20th century; rbpri,0.9,
1794,devices (Printing) France 16th century. rbpri,matched,Devices (Printing),France 16th century; rbpri,0.95,
1795,devices (Printing) Germany 16th century. rbpri,matched,Devices (Printing),Germany 16th century; rbpri,0.95,
1796,devices (Printing) Germany Frankfurt am Main 16th century. rbpri,matched,Devices (Printing),Germany Frankfurt am Main 16th century; rbpri,0.95,
1797,devices (Printing) Italy 16th century. rbpri,matched,Devices (Printing),Italy 16th century; rbpri,0.95,
1798,devices (Printing) Italy Venice 16th century. rbpri,matched,Devices (Printing),Italy Venice 16th century; rbpri,0.95,
1799,devices (Printing) Massachusetts Boston 19th century. rbpri,matched,Devices (Printing),Massachusetts Boston 19th century; rbpri,0.95,
1800,devices (Printing) rbpri,matched,Devices (Printing),rbpri,1,
1801,devices (Printing) Roycroft Shop. rbpri,matched,Devices (Printing),Roycroft Shop; rbpri,0.9,
1802,devices (Publishing) 15th century. rbpub,matched,Devices (Publishing),15th century; rbpub,0.9,
1803,devices Germany 16th century. rbpri,matched,Devices (Printing),Germany 16th century; rbpri,0.95,
1804,devices New York (State) East Aurora 1899. rbpri,matched,Devices (Printing),New York (State) East Aurora 1899; rbpri,0.95,
1805,devices. rbpri,matched,Devices (Printing),rbpri,0.9,
1806,in multiple colors (Printing) France 16th century. rbpri,matched,Printing in multiple colors,France 16th century; rbpri,0.9,
1807,in multiple colors (Printing) rbpri,matched,Printing in multiple colors,rbpri,1,
1808,in multiple colors (Printing) United States 20th century. rbpri,matched,Printing in multiple colors,United States 20th century; rbpri,0.9,
1809,in multiple colours (Printing) England London 19th century. rbpri,matched,Printing in multiple colors,England London 19th century; rbpri,0.9,British spelling normalized
1810,in multiple colours (Printing) Scotland Edinburgh 19th century. rbpri,matched,Printing in multiple colors,Scotland Edinburgh 19th century; rbpri,0.9,
1811,press books (Printing) rbpri,matched,Press books (Printing),rbpri,1,
1812,press books (Publishing) Connecticut Glastonbury. rbpub,matched,Press books (Publishing),Connecticut Glastonbury; rbpub,0.9,
1813,press books (Publishing) England London 18th century. rbpub,matched,Press books (Publishing),England London 18th century; rbpub,0.95,
1814,press books (Publishing) England London. rbgenr,matched,Press books (Publishing),England London; rbgenr,0.95,
1815,press books (Publishing) England Oxfordshire 20th century. rbpub,matched,Press books (Publishing),England Oxfordshire 20th century; rbpub,0.9,
1816,press books (Publishing) England Waltham Saint Lawrence. rbgenr,matched,Press books (Publishing),England Waltham Saint Lawrence; rbgenr,0.9,
1817,press books (Publishing) Illinois Prairie City. rbpub,matched,Press books (Publishing),Illinois Prairie City; rbpub,0.9,
1818,press books (Publishing) rbpub,matched,Press books (Publishing),rbpub,1,
1819,press books (Publishing) United States Massachusetts 20th century. rbpub,matched,Press books (Publishing),United States Massachusetts 20th century; rbpub,0.9,
1820,press books (Publishing) United States New York (City) 20th century. rbpub,matched,Press books (Publishing),United States New York (City) 20th century; rbpub,0.9,
1821,published books United States 20th century. rbpub,matched,Published books,United States 20th century; rbpub,0.9,
1822,19th century. rbgenr PU,no_match,,"19th century; rbgenr, PU",0,qualifier-only
1823,rbgenr CtHT,no_match,,rbgenr CtHT,0,qualifier-only
1824,(Printing) - Great Britain - 20th century. rbpri,no_match,,(Printing) Great Britain 20th century; rbpri,0,
1825,(Printing) - United States - 20th century. rbpri,no_match,,(Printing) United States 20th century; rbpri,0,
1826,(Printing) - United States - Massachusetts - 20th century. rbpri,no_match,,(Printing) United States Massachusetts 20th century; rbpri,0,
1827,(printing) - United States - New York - 20th century. rbpri,no_match,,(Printing) United States New York 20th century; rbpri,0,
1828,(Printing) 20th century. rbpri,no_match,,(Printing) 20th century; rbpri,0,
1829,(Printing) Great Britain 20th century. rbpri,no_match,,(Printing) Great Britain 20th century; rbpri,0,
1830,(Printing) Massachusetts Boston 1993. rbpri CtY-BR,no_match,,"(Printing) Massachusetts Boston 1993; rbpri, CtY-BR",0,
1831,(Printing) New York (State) New York 1911. rbpri,no_match,,(Printing) New York (State) New York 1911; rbpri,0,
1832,(Printing) New York (State) New York 1993. rbpri,no_match,,(Printing) New York (State) New York 1993; rbpri,0,
1833,(Printing) New York (State) New York 2000. rbpri CtY-BR,no_match,,"(Printing) New York (State) New York 2000; rbpri, CtY-BR",0,
1834,(Printing) New York (State) New York 2004. rbpri CtY-BR,no_match,,"(Printing) New York (State) New York 2004; rbpri, CtY-BR",0,
1835,(Printing) North Carolina 20th century. rbpri,no_match,,(Printing) North Carolina 20th century; rbpri,0,
1836,(Printing) United States 20th century. rbpri,no_match,,(Printing) United States 20th century; rbpri,0,
1837,(Printing) United States New York 20th century. rbpri,no_match,,(Printing) United States New York 20th century; rbpri,0,
1838,rbpri,no_match,,rbpri,0,qualifier-only
1839,France Paris 1966. rbgenr CtY-BR,no_match,,France Paris 1966; rbgenr CtY-BR,0,
1840,Massachusetts Boston 1735. rbgenr,no_match,,Massachusetts Boston 1735; rbgenr,0,
1841,New York (State) New York 1947. rbgenr CtY-BR,no_match,,New York (State) New York 1947; rbgenr CtY-BR,0,
1842,literature France Paris 1968. rbgenr,matched,Literature,France Paris 1968; rbgenr,0.6,
1843,literature Vietnam 20th century. rbgenr,matched,Literature,Vietnam 20th century; rbgenr,0.6,
1844,labels (Provenance) rbrpov MMeT,matched,Labels (Provenance),"rbrpov, MMeT",0.7,typo in qualifier preserved
1845,1651. rbgenr,no_match,,1651; rbgenr,0,
1846,1761. rbgenr,no_match,,1761; rbgenr,0,
1847,1801. rbgenr,no_match,,1801; rbgenr,0,
1848,Health Sciences Books. rbgenr,matched,Health Sciences Books,rbgenr,1,
1849,advertisements - Massachusetts - Boston - 1885. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston 1885; rbgenr,0.95,
1850,advertisements (Publishing) - United States - 20th century. rbpub,matched,Advertisements (Publishing),United States 20th century; rbpub,0.85,
1851,advertisements (Publishing) England 19th century. rbpub,matched,Advertisements (Publishing),England 19th century; rbpub,0.85,
1852,advertisements (Publishing) France 20th century. rbpub,matched,Advertisements (Publishing),France 20th century; rbpub,0.85,
1853,advertisements (Publishing) Great Britain 19th century. rbpub,matched,Advertisements (Publishing),Great Britain 19th century; rbpub,0.85,
1854,advertisements (Publishing) Great Britain 20th century. rbpub,matched,Advertisements (Publishing),Great Britain 20th century; rbpub,0.85,
1855,advertisements (Publishing) Scotland 20th century. rbpub,matched,Advertisements (Publishing),Scotland 20th century; rbpub,0.85,
1856,advertisements (Publishing) United States 19th century. rbpub,matched,Advertisements (Publishing),United States 19th century; rbpub,0.85,
1857,advertisements (Publishing) United States 20th century. rbpub,matched,Advertisements (Publishing),United States 20th century; rbpub,0.85,
1858,advertisements 1831. rbgenr,matched,Booksellers' advertisements,1831; rbgenr,0.9,
1859,advertisements 1846 England Specimens. rbgenr,matched,Booksellers' advertisements,1846 England Specimens; rbgenr,0.85,
1860,advertisements 1846 England. rbgenr,matched,Booksellers' advertisements,1846 England; rbgenr,0.9,
1861,advertisements 1847 United States. rbgenr,matched,Booksellers' advertisements,1847 United States; rbgenr,0.9,
1862,advertisements 1854. rbgenr,matched,Booksellers' advertisements,1854; rbgenr,0.9,
1863,advertisements 1858 United States Specimens. rbgenr,matched,Booksellers' advertisements,1858 United States Specimens; rbgenr,0.85,
1864,advertisements 1863 United States Specimens. rbgenr,matched,Booksellers' advertisements,1863 United States Specimens; rbgenr,0.85,
1865,advertisements 1866 United States Specimens. rbgenr,matched,Booksellers' advertisements,1866 United States Specimens; rbgenr,0.85,
1866,advertisements 1888. rbgenr,matched,Booksellers' advertisements,1888; rbgenr,0.9,
1867,advertisements 1890. rbgenr,matched,Booksellers' advertisements,1890; rbgenr,0.9,
1868,advertisements 1903. rbgenr,matched,Booksellers' advertisements,1903; rbgenr,0.9,
1869,advertisements 1916. rbgenr,matched,Booksellers' advertisements,1916; rbgenr,0.9,
1870,advertisements 1929. rbgenr,matched,Booksellers' advertisements,1929; rbgenr,0.9,
1871,advertisements 1934. rbgenr,matched,Booksellers' advertisements,1934; rbgenr,0.9,
1872,advertisements 1951. rbgenr,matched,Booksellers' advertisements,1951; rbgenr,0.9,
1873,advertisements 1972. rbgenr,matched,Booksellers' advertisements,1972; rbgenr,0.9,
1874,advertisements 1976. rbgenr,matched,Booksellers' advertisements,1976; rbgenr,0.9,
1875,advertisements 19th century. New York (State) New York. rbgenr,matched,Booksellers' advertisements,19th century; New York (State) New York; rbgenr,0.85,
1876,advertisements 19th century. rbgenr,matched,Booksellers' advertisements,19th century; rbgenr,0.85,
1877,advertisements Berlin 19th century. rbgenr,matched,Booksellers' advertisements,Berlin 19th century; rbgenr,0.85,
1878,advertisements Boston 19th century. rbgenr,matched,Booksellers' advertisements,Boston 19th century; rbgenr,0.85,
1879,advertisements California Los Angeles 1995. rbgenr,matched,Booksellers' advertisements,California Los Angeles 1995; rbgenr,0.9,
1880,advertisements California Los Angeles 1997. rbgenr,matched,Booksellers' advertisements,California Los Angeles 1997; rbgenr,0.9,
1881,advertisements England 1891. rbgenr,matched,Booksellers' advertisements,England 1891; rbgenr,0.9,
1882,advertisements England 1894. rbgenr,matched,Booksellers' advertisements,England 1894; rbgenr,0.9,
1883,advertisements England 18th century Pemberton. rbgenr,matched,Booksellers' advertisements,England 18th century Pemberton; rbgenr,0.85,
1884,advertisements England 18th century. rbgenr,matched,Booksellers' advertisements,England 18th century; rbgenr,0.85,
1885,advertisements England 1918. rbgenr,matched,Booksellers' advertisements,England 1918; rbgenr,0.9,
1886,advertisements England 1943. rbgenr,matched,Booksellers' advertisements,England 1943; rbgenr,0.9,
1887,advertisements England 19th century. rbgenr,matched,Booksellers' advertisements,England 19th century; rbgenr,0.85,
1888,advertisements England 19th century. rbgenr StSaUL,matched,Booksellers' advertisements,"England 19th century; rbgenr, StSaUL",0.8,
1889,advertisements England 20th century Black. rbgenr,matched,Booksellers' advertisements,"England 20th century; rbgenr, Black",0.8,
1890,advertisements England 20th century. rbgenr,matched,Booksellers' advertisements,England 20th century; rbgenr,0.85,
1891,advertisements England London 1721. rbgenr,matched,Booksellers' advertisements,England London 1721; rbgenr,0.9,
1892,advertisements England London 1738. rbgenr,matched,Booksellers' advertisements,England London 1738; rbgenr,0.9,
1893,advertisements England London 1846. rbgenr,matched,Booksellers' advertisements,England London 1846; rbgenr,0.9,
1894,advertisements England London 1847. rbgenr,matched,Booksellers' advertisements,England London 1847; rbgenr,0.9,
1895,advertisements England London 1852. rbgenr,matched,Booksellers' advertisements,England London 1852; rbgenr,0.9,
1896,advertisements England London 1871. rbgenr,matched,Booksellers' advertisements,England London 1871; rbgenr,0.9,
1897,advertisements England London 1883. rbgenr,matched,Booksellers' advertisements,England London 1883; rbgenr,0.9,
1898,advertisements England London 1886. rbgenr,matched,Booksellers' advertisements,England London 1886; rbgenr,0.9,
1899,advertisements England London 1898. rbgenr,matched,Booksellers' advertisements,England London 1898; rbgenr,0.9,
1900,advertisements England London 1912. rbgenr,matched,Booksellers' advertisements,England London 1912; rbgenr,0.9,
1901,advertisements England London 19th century. rbgenr,matched,Booksellers' advertisements,England London 19th century; rbgenr,0.85,
1902,advertisements England London 20th century. rbgenr,matched,Booksellers' advertisements,England London 20th century; rbgenr,0.85,
1903,advertisements France 20th century Specimens. rbgenr,matched,Booksellers' advertisements,France 20th century Specimens; rbgenr,0.85,
1904,advertisements France Paris 20th century. rbgenr,matched,Booksellers' advertisements,France Paris 20th century; rbgenr,0.9,
1905,advertisements Germany 20th century Specimens. rbgenr,matched,Booksellers' advertisements,Germany 20th century Specimens; rbgenr,0.85,
1906,advertisements Germany 20th century. rbgenr,matched,Booksellers' advertisements,Germany 20th century; rbgenr,0.9,
1907,advertisements Germany Berlin 1926. rbgenr,matched,Booksellers' advertisements,Germany Berlin 1926; rbgenr,0.9,
1908,advertisements Germany Berlin 1967. rbgenr,matched,Booksellers' advertisements,Germany Berlin 1967; rbgenr,0.9,
1909,advertisements Germany Berlin 1970. rbgenr,matched,Booksellers' advertisements,Germany Berlin 1970; rbgenr,0.9,
1910,advertisements Germany Berlin 1984. rbgenr,matched,Booksellers' advertisements,Germany Berlin 1984; rbgenr,0.9,
1911,advertisements Germany Frankfurt am Main 1963. rbgenr,matched,Booksellers' advertisements,Germany Frankfurt am Main 1963; rbgenr,0.9,
1912,advertisements Germany Frankfurt am Main 1964. rbgenr,matched,Booksellers' advertisements,Germany Frankfurt am Main 1964; rbgenr,0.9,
1913,advertisements Germany Frankfurt am Main 1971. rbgenr,matched,Booksellers' advertisements,Germany Frankfurt am Main 1971; rbgenr,0.9,
1914,advertisements Germany Frankfurt am Main 1978. rbgenr,matched,Booksellers' advertisements,Germany Frankfurt am Main 1978; rbgenr,0.9,
1915,advertisements Germany Leipzig 1913. rbgenr,matched,Booksellers' advertisements,Germany Leipzig 1913; rbgenr,0.9,
1916,advertisements Germany Munich 1922. rbgenr,matched,Booksellers' advertisements,Germany Munich 1922; rbgenr,0.9,
1917,advertisements Germany Munich 1970. rbgenr,matched,Booksellers' advertisements,Germany Munich 1970; rbgenr,0.9,
1918,advertisements Germany Percha am Starnberger See 1974. rbgenr,matched,Booksellers' advertisements,Germany Percha am Starnberger See 1974; rbgenr,0.85,
1919,advertisements Illinois Chicago 1896. NNC. rbgenr,matched,Booksellers' advertisements,"Illinois Chicago 1896; rbgenr, NNC",0.85,
1920,advertisements Illinois Chicago 19th century. rbgenr,matched,Booksellers' advertisements,Illinois Chicago 19th century; rbgenr,0.85,
1921,advertisements Maryland Cambridge 1975. rbgenr,matched,Booksellers' advertisements,Maryland Cambridge 1975; rbgenr,0.9,
1922,advertisements Massachusetts Boston 1818. NNC rbgenr,matched,Booksellers' advertisements,"Massachusetts Boston 1818; rbgenr, NNC",0.85,
1923,advertisements Massachusetts Boston 1847. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston 1847; rbgenr,0.9,
1924,advertisements Massachusetts Boston 1850. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston 1850; rbgenr,0.9,
1925,advertisements Massachusetts Boston 1855. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston 1855; rbgenr,0.9,
1926,advertisements Massachusetts Boston 1860. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston 1860; rbgenr,0.9,
1927,advertisements Massachusetts Boston 1864. rbgenr NNC,matched,Booksellers' advertisements,"Massachusetts Boston 1864; rbgenr, NNC",0.8,
1928,advertisements Massachusetts Boston 1878. rbgenr NNC,matched,Booksellers' advertisements,"Massachusetts Boston 1878; rbgenr, NNC",0.8,
1929,advertisements Massachusetts Boston 1905. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston 1905; rbgenr,0.9,
1930,"advertisements Massachusetts Boston 19th century Marsh, Capen, Lyon, and Webb. rbgenr",matched,Booksellers' advertisements,Massachusetts Boston 19th century; rbgenr,0.8,vendor names preserved as extraneous
1931,advertisements Massachusetts Boston 19th century. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston 19th century; rbgenr,0.85,
1932,advertisements Massachusetts Boston 19th century. rbgenr PU,matched,Booksellers' advertisements,"Massachusetts Boston 19th century; rbgenr, PU",0.8,
1933,advertisements Massachusetts Boston. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston; rbgenr,0.95,
1934,advertisements New York (N.Y.) 1885. rbgenr,matched,Booksellers' advertisements,New York (N.Y.) 1885; rbgenr,0.9,
1935,advertisements New York (N.Y.) 19th century. rbgenr,matched,Booksellers' advertisements,New York (N.Y.) 19th century; rbgenr,0.85,
1936,advertisements New York (N.Y.). rbgenr,matched,Booksellers' advertisements,New York (N.Y.); rbgenr,0.95,
1937,advertisements New York (State) New York 1843. rbgenr,matched,Booksellers' advertisements,New York (State) New York 1843; rbgenr,0.9,
1938,advertisements New York (State) New York 1849. NNC. rbgenr,matched,Booksellers' advertisements,"New York (State) New York 1849; rbgenr, NNC",0.85,
1939,advertisements New York (State) New York 1858. rbgenr,matched,Booksellers' advertisements,New York (State) New York 1858; rbgenr,0.9,
1940,advertisements New York (State) New York 1893. rbgenr,matched,Booksellers' advertisements,New York (State) New York 1893; rbgenr,0.9,
1941,advertisements New York (State) New York 1925. rbgenr,matched,Booksellers' advertisements,New York (State) New York 1925; rbgenr,0.9,
1942,advertisements New York (State) New York 1940. rbgenr,matched,Booksellers' advertisements,New York (State) New York 1940; rbgenr,0.9,
1943,advertisements New York (State) New York 19th century Appleton. rbgenr,matched,Booksellers' advertisements,New York (State) New York 19th century; rbgenr,0.8,publisher name preserved
1944,advertisements New York (State) New York 19th century Harper. rbgenr,matched,Booksellers' advertisements,New York (State) New York 19th century; rbgenr,0.8,publisher name preserved
1945,advertisements New York (State) New York 19th century. rbgenr,matched,Booksellers' advertisements,New York (State) New York 19th century; rbgenr,0.85,
1946,advertisements New York (State) New York 20th century. rbgenr,matched,Booksellers' advertisements,New York (State) New York 20th century; rbgenr,0.85,
1947,advertisements New York 20th century. rbgenr,matched,Booksellers' advertisements,New York 20th century; rbgenr,0.85,
1948,advertisements New York New York 20th century. rbgenr,matched,Booksellers' advertisements,New York New York 20th century; rbgenr,0.85,
1949,advertisements Ohio Cincinnati. rbgenr,matched,Booksellers' advertisements,Ohio Cincinnati; rbgenr,0.95,
1950,advertisements Ohio Cleveland 1907. rbgenr,matched,Booksellers' advertisements,Ohio Cleveland 1907; rbgenr,0.9,
1951,advertisements Pennsylvania Philadelphia 1833. rbgenr,matched,Booksellers' advertisements,Pennsylvania Philadelphia 1833; rbgenr,0.9,
1952,advertisements Pennsylvania Philadelphia 19th century. rbgenr,matched,Booksellers' advertisements,Pennsylvania Philadelphia 19th century; rbgenr,0.85,
1953,advertisements Pennsylvania Pittsburgh 1990. rbgenr,matched,Booksellers' advertisements,Pennsylvania Pittsburgh 1990; rbgenr,0.9,
1954,advertisements rbgenr,no_match,,rbgenr,0,qualifier-only ??? no term
1955,advertisements rbpub AOW,no_match,,"rbpub, AOW",0,qualifier-only/ambiguous
1956,advertisements United States 1945 Specimens. rbgenr,matched,Booksellers' advertisements,United States 1945 Specimens; rbgenr,0.85,
1957,advertisements United States 19th century Harper & Brothers. rbgenr,matched,Booksellers' advertisements,United States 19th century; rbgenr,0.8,publisher name preserved
1958,advertisements United States 19th century Houghton Mifflin. rbgenr,matched,Booksellers' advertisements,United States 19th century; rbgenr,0.8,publisher name preserved
1959,advertisements United States 19th century Putnam. rbgenr,matched,Booksellers' advertisements,United States 19th century; rbgenr,0.8,publisher name preserved
1960,advertisements United States 19th century Roberts Brothers. rbgenr,matched,Booksellers' advertisements,United States 19th century; rbgenr,0.8,publisher name preserved
1961,advertisements United States 19th century Routledge. rbgenr,matched,Booksellers' advertisements,United States 19th century; rbgenr,0.8,publisher name preserved
1962,advertisements United States 19th century. rbgenr,matched,Booksellers' advertisements,United States 19th century; rbgenr,0.85,
1963,advertisements United States 20th century D. Appleton. rbgenr,matched,Booksellers' advertisements,United States 20th century; rbgenr,0.8,publisher name preserved
1964,advertisements United States 20th century Harper. rbgenr,matched,Booksellers' advertisements,United States 20th century; rbgenr,0.8,publisher name preserved
1965,advertisements United States 20th century Houghton Mifflin. rbgenr,matched,Booksellers' advertisements,United States 20th century; rbgenr,0.8,publisher name preserved
1966,advertisements United States 20th century Scribner's. rbgenr,matched,Booksellers' advertisements,United States 20th century; rbgenr,0.8,publisher name preserved
1967,advertisements United States 20th century. rbgenr,matched,Booksellers' advertisements,United States 20th century; rbgenr,0.85,
1968,advertisements United States New York (N.Y.) 19th century. rbgenr,matched,Booksellers' advertisements,United States New York (N.Y.) 19th century; rbgenr,0.85,
1969,advertisements United States New York (State) New York 20th century. rbgenr,matched,Booksellers' advertisements,United States New York (State) New York 20th century; rbgenr,0.85,
1970,advertisements. rbgenr CtHT,no_match,,rbgenr CtHT,0,qualifier-only
1971,advertisements. rbgenr CtY-BA,no_match,,rbgenr CtY-BA,0,qualifier-only
1972,advertisements. rbgenr CtY-BR,no_match,,rbgenr CtY-BR,0,qualifier-only
1973,advertisements. rbpub CtW,no_match,,rbpub CtW,0,qualifier-only
1974,advertisments 1898 United States Specimens. rbgenr,matched,Booksellers' advertisements,1898 United States Specimens; rbgenr,0.8,source typo 'advertisments' preserved
1975,bindings. rbgenr,matched,Bindings (Provenance),rbgenr,0.75,
1976,catalogs England London. rbgenr,matched,Catalogs,England London; rbgenr,0.95,
1977,catalogs France Paris 1926. rbgenr CtY-BR,matched,Catalogs,France Paris 1926; rbgenr CtY-BR,0.9,
1978,catalogs New York (State) New York. rbgenr,matched,Catalogs,New York (State) New York; rbgenr,0.95,
1979,catalogs. rbgenr,matched,Catalogs,rbgenr,1,
1980,catalogue 1898. rbgenr,matched,Catalogs,1898; rbgenr,0.9,
1981,catalogues England London 19th century. rbgenr,matched,Catalogs,England London 19th century; rbgenr,0.9,
1982,catalogues Massachusetts Boston. rbgenr,matched,Catalogs,Massachusetts Boston; rbgenr,0.9,
1983,cloth bindings (Binding) rbbin MMeT,matched,Cloth bindings,"(Binding); rbbin, MMeT",0.9,
1984,cloth bindings (Binding) United States. rbbin,matched,Cloth bindings,(Binding) United States; rbbin,0.9,
1985,cloth bindings. rbgenr,matched,Cloth bindings,rbgenr,1,
1986,bindings (Binding) England London 19th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) England London 19th century; rbbin, MMeT",0.9,
1987,Bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"rbbin, MMeT",0.85,
1988,bindings (Binding). rbbin,matched,Bindings (Provenance),rbbin,0.9,
1989,(book format England 1818-1823. rbpri,no_match,,(book format) England 1818-1823; rbpri,0,format fragment ??? no single RBMS term
1990,format (Printing) France Paris 18th century. rbpri,no_match,,(Printing) France Paris 18th century; rbpri,0,
1991,format (Printing) Germany G??ttingen 18th century. rbpri,no_match,,(Printing) Germany G??ttingen 18th century; rbpri,0,
1992,format (Printing) Maryland Baltimore 19th century. rbpri,no_match,,(Printing) Maryland Baltimore 19th century; rbpri,0,
1993,and answers. rbgenr,matched,Answers (Q&A),rbgenr,0.6,broad mapping to answer/response literature
1994,Illinois Chicago 1946. rbgenr,no_match,,Illinois Chicago 1946; rbgenr,0,place/date only ??? no RBMS term
1995,(Binding) rbbin,no_match,,(Binding); rbbin,0,qualifier-only
1996,plays. rbgenr,matched,Plays,rbgenr,1,
1997,guides. rbgenr,matched,Guides,rbgenr,0.8,
1998,leather bindings (Binding) 17th century rbbin,matched,Leather bindings,(Binding) 17th century; rbbin,1,
1999,copies (Publishing) rbpub CU-BANC,matched,Copies (Publishing),"rbpub, CU-BANC",0.95,
2000,catalogs England Berwick-upon-Tweed 19th century. rbgenr,matched,Catalogs,England Berwick-upon-Tweed 19th century; rbgenr,0.9,
2001,copies (Printing) 20th century. rbpri,matched,Copies (Printing),20th century; rbpri,0.85,
2002,1871. rbgenr,no_match,,1871; rbgenr,0,
2003,1953. rbgenr,no_match,,1953; rbgenr,0,
2004,catalogs United States 19th century. rbgenr,matched,Catalogs,United States 19th century; rbgenr,0.85,
2005,catalogs United States 20th century. rbgenr,matched,Catalogs,United States 20th century; rbgenr,0.85,
2006,fiction Great Britain. rbgenr,matched,Fiction,Great Britain; rbgenr,0.9,
2007,fiction New York (State) New York 20th century. rbgenr,matched,Fiction,New York (State) New York 20th century; rbgenr,0.9,
2008,fiction United States. rbgenr,matched,Fiction,United States; rbgenr,0.9,
2009,1673. rbgenr,no_match,,1673; rbgenr,0,
2010,1679. rbgenr,no_match,,1679; rbgenr,0,
2011,1680. rbgenr,no_match,,1680; rbgenr,0,
2012,1685. rbgenr,no_match,,1685; rbgenr,0,
2013,1691. rbgenr,no_match,,1691; rbgenr,0,
2014,1694. rbgenr,no_match,,1694; rbgenr,0,
2015,1704. rbgenr,no_match,,1704; rbgenr,0,
2016,1706. rbgenr,no_match,,1706; rbgenr,0,
2017,1709. rbgenr,no_match,,1709; rbgenr,0,
2018,1710. rbgenr,no_match,,1710; rbgenr,0,
2019,1712. rbgenr,no_match,,1712; rbgenr,0,
2020,1713. rbgenr,no_match,,1713; rbgenr,0,
2021,1715. rbgenr,no_match,,1715; rbgenr,0,
2022,1717. rbgenr,no_match,,1717; rbgenr,0,
2023,1718. rbgenr,no_match,,1718; rbgenr,0,
2024,1719. rbgenr,no_match,,1719; rbgenr,0,
2025,1720. rbgenr,no_match,,1720; rbgenr,0,
2026,1721. rbgenr,no_match,,1721; rbgenr,0,
2027,1722. rbgenr,no_match,,1722; rbgenr,0,
